game,date,numbers,bonus,gold_ball,scraped_at,source_block_index
Lotto Max,2012-07-20,"[4, 7, 29, 35, 39, 43, 44]",46,,2025-06-13T18:58:58.545916,147
Lotto Max,2012-07-27,"[2, 20, 25, 26, 46, 47, 48]",44,,2025-06-13T18:58:58.545916,148
Lotto Max,2012-08-03,"[1, 2, 18, 26, 27, 39, 42]",33,,2025-06-13T18:58:58.545916,149
Lotto Max,2012-08-10,"[2, 15, 18, 19, 22, 27, 49]",40,,2025-06-13T18:58:58.545916,150
Lotto Max,2012-08-17,"[18, 19, 22, 27, 29, 36, 47]",25,,2025-06-13T18:58:58.545916,151
Lotto Max,2012-08-24,"[2, 3, 5, 22, 23, 32, 33]",8,,2025-06-13T18:58:58.545916,152
Lotto Max,2012-08-31,"[5, 12, 13, 28, 33, 37, 43]",44,,2025-06-13T18:58:58.545916,153
Lotto Max,2012-09-07,"[11, 14, 18, 20, 37, 41, 46]",8,,2025-06-13T18:58:58.545916,154
Lotto Max,2012-09-14,"[2, 27, 30, 31, 37, 46, 47]",21,,2025-06-13T18:58:58.545916,155
Lotto Max,2012-09-21,"[7, 8, 10, 11, 19, 34, 45]",44,,2025-06-13T18:58:58.545916,156
Lotto Max,2012-09-28,"[5, 6, 32, 33, 39, 42, 47]",9,,2025-06-13T18:58:58.545916,157
Lotto Max,2012-10-05,"[1, 12, 23, 27, 30, 31, 37]",33,,2025-06-13T18:58:58.545916,158
Lotto Max,2012-10-12,"[5, 7, 12, 15, 35, 45, 47]",40,,2025-06-13T18:58:58.545916,159
Lotto Max,2012-10-19,"[1, 2, 3, 15, 22, 37, 41]",6,,2025-06-13T18:58:58.545916,160
Lotto Max,2012-10-26,"[3, 4, 20, 25, 30, 35, 48]",23,,2025-06-13T18:58:58.545916,161
Lotto Max,2012-11-02,"[1, 2, 5, 26, 29, 36, 47]",13,,2025-06-13T18:58:58.545916,162
Lotto Max,2012-11-09,"[8, 9, 11, 22, 24, 42, 46]",13,,2025-06-13T18:58:58.545916,163
Lotto Max,2012-11-16,"[1, 5, 9, 19, 27, 35, 48]",30,,2025-06-13T18:58:58.545916,164
Lotto Max,2012-11-23,"[6, 8, 10, 17, 28, 29, 38]",34,,2025-06-13T18:58:58.545916,165
Lotto Max,2012-11-30,"[3, 10, 13, 23, 31, 41, 45]",33,,2025-06-13T18:58:58.545916,166
Lotto Max,2012-12-07,"[5, 11, 22, 29, 38, 42, 49]",33,,2025-06-13T18:58:58.545916,167
Lotto Max,2012-12-14,"[3, 6, 10, 33, 39, 48, 49]",18,,2025-06-13T18:58:58.545916,168
Lotto Max,2012-12-21,"[7, 8, 17, 18, 20, 40, 41]",33,,2025-06-13T18:58:58.545916,169
Lotto Max,2012-12-28,"[1, 9, 25, 28, 32, 41, 48]",12,,2025-06-13T18:58:58.545916,170
Lotto Max,2013-01-04,"[3, 6, 16, 23, 27, 28, 34]",22,,2025-06-13T18:58:58.545916,171
Lotto Max,2013-01-11,"[2, 25, 26, 37, 39, 48, 49]",40,,2025-06-13T18:58:58.545916,172
